epoch,global_step,train_loss,val_loss,checkpoint_path
0,60,0.7350731744120519,0.5088913599650066,output/2dunet/t1tot2/weights/best_seed42.pt
1,120,0.440594462181131,0.4237987200419108,output/2dunet/t1tot2/weights/best_seed42.pt
2,180,0.3981527745723724,0.3952633758385976,output/2dunet/t1tot2/weights/best_seed42.pt
3,240,0.38003796686728797,0.3757055083910624,output/2dunet/t1tot2/weights/best_seed42.pt
4,300,0.3657138250768185,0.3684287587801615,output/2dunet/t1tot2/weights/best_seed42.pt
5,360,0.36061657841006917,0.3591727515061696,output/2dunet/t1tot2/weights/best_seed42.pt
6,420,0.3548628525187572,0.3676739672819773,
7,480,0.3439501547565063,0.3518546104431152,output/2dunet/t1tot2/weights/best_seed42.pt
8,540,0.3359922418991725,0.3365937888622284,output/2dunet/t1tot2/weights/best_seed42.pt
9,600,0.33529917361835637,0.35185238321622214,
10,660,0.3263947152843078,0.33345579107602435,output/2dunet/t1tot2/weights/best_seed42.pt
11,720,0.32934693184991676,0.3291208505630493,output/2dunet/t1tot2/weights/best_seed42.pt
12,780,0.3258847486848632,0.3265655199686686,output/2dunet/t1tot2/weights/best_seed42.pt
13,840,0.3190060619885723,0.3280550797780355,
14,900,0.31722011441985765,0.34425339500109353,
15,960,0.31361337676644324,0.3269845505555471,
16,1020,0.30844461744030316,0.315178789695104,output/2dunet/t1tot2/weights/best_seed42.pt
17,1080,0.3042379240194956,0.31658823291460675,
18,1140,0.3068042043596506,0.3111194451649984,output/2dunet/t1tot2/weights/best_seed42.pt
19,1200,0.30053475716461736,0.3117919584115346,output/2dunet/t1tot2/weights/epoch_020_seed42.pt
20,1260,0.29830426375071206,0.3184790829817454,
21,1320,0.29790132759759824,0.3398723284403483,
22,1380,0.29892145891984306,0.31697838306427,
23,1440,0.29479134995490314,0.30296377340952557,output/2dunet/t1tot2/weights/best_seed42.pt
24,1500,0.2934420794248581,0.33031608661015827,
25,1560,0.2926271616791685,0.3025265057881673,output/2dunet/t1tot2/weights/best_seed42.pt
26,1620,0.28737965505570173,0.31389158169428505,
27,1680,0.28754092939198017,0.30371429920196535,
28,1740,0.28798221132407587,0.30813477039337156,
29,1800,0.28492553730805714,0.3033608833948771,
30,1860,0.2851897057766716,0.29946753978729246,output/2dunet/t1tot2/weights/best_seed42.pt
31,1920,0.2839240477109949,0.3135327796141307,
32,1980,0.28677566995223364,0.2983474373817444,output/2dunet/t1tot2/weights/best_seed42.pt
33,2040,0.28256632617364325,0.2982537686824799,output/2dunet/t1tot2/weights/best_seed42.pt
34,2100,0.2828795585160454,0.29518425464630127,output/2dunet/t1tot2/weights/best_seed42.pt
35,2160,0.27958862607677776,0.29936993519465127,
36,2220,0.27809501544882853,0.29684604008992516,
37,2280,0.27888473924249413,0.2992884874343872,
38,2340,0.2751813982923826,0.29139803647994994,output/2dunet/t1tot2/weights/best_seed42.pt
39,2400,0.274461130797863,0.2924416502316793,output/2dunet/t1tot2/weights/epoch_040_seed42.pt
40,2460,0.271558174615105,0.2974855820337931,
41,2520,0.27582215089350937,0.29350654284159344,
42,2580,0.27725410703569653,0.29665562709172566,
