epoch,global_step,train_loss,l1,ssim,grad
0,1,1.5674586296081543,1.0679149627685547,1.093910813331604,0.30989623069763184
0,2,1.402635931968689,0.9305461049079895,1.0357701778411865,0.2889091372489929
0,3,1.2260322570800781,0.7975873351097107,0.9366967678070068,0.26883143186569214
0,4,1.245671272277832,0.8306330442428589,0.8931701183319092,0.2888506054878235
0,5,1.0222258567810059,0.6404708623886108,0.8191380500793457,0.2704988718032837
0,6,1.0753620862960815,0.7017365097999573,0.7963523268699646,0.27542293071746826
0,7,0.9798614978790283,0.6297324299812317,0.745105504989624,0.2604341506958008
0,8,0.9492396116256714,0.6004651784896851,0.7424018383026123,0.25906845927238464
0,9,0.958962082862854,0.6243866086006165,0.7146488428115845,0.24357977509498596
0,10,0.9196869730949402,0.5946075916290283,0.6882432699203491,0.2489105612039566
0,11,0.8307650685310364,0.5290307402610779,0.6425310373306274,0.22360961139202118
0,12,0.8185831904411316,0.5043518543243408,0.6676782369613647,0.23580023646354675
0,13,0.8720659613609314,0.559673011302948,0.6622141599655151,0.23753637075424194
0,14,0.857025146484375,0.5389376878738403,0.6733046174049377,0.24382814764976501
0,15,0.8605354428291321,0.5536231994628906,0.6480167508125305,0.23852762579917908
0,16,0.798234760761261,0.5099756717681885,0.6123849153518677,0.21652546525001526
0,17,0.7586823105812073,0.4801537096500397,0.5883444547653198,0.21595416963100433
0,18,0.7956526875495911,0.5084969997406006,0.6051226854324341,0.22553300857543945
0,19,0.7804854512214661,0.5185168385505676,0.5503318309783936,0.20917925238609314
0,20,0.714826762676239,0.4475933313369751,0.563426673412323,0.2093140184879303
0,21,0.7037391662597656,0.43319937586784363,0.5686845779418945,0.21532975137233734
0,22,0.6248518228530884,0.3873005509376526,0.5010713338851929,0.1856137216091156
0,23,0.877724289894104,0.6004891991615295,0.577795684337616,0.2305840253829956
0,24,0.7456056475639343,0.4873659014701843,0.5440043807029724,0.20318977534770966
0,25,0.7326754331588745,0.4788442850112915,0.5278152227401733,0.2135252058506012
