epoch,global_step,train_loss,val_loss,checkpoint_path
60,1830,0.25758190688987576,0.2854520519574483,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
61,1860,0.250101167956988,0.2839442608257135,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
62,1890,0.2453616405526797,0.28787997166315715,
63,1920,0.2528261182208856,0.28626485193769136,
64,1950,0.25380796355505786,0.28284720157583554,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
65,1980,0.2521816884477933,0.28401621505618097,
66,2010,0.2509767486403386,0.2820069546500842,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
67,2040,0.2522951436539491,0.28707990994056065,
68,2070,0.2482346118738254,0.28159281065066655,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
69,2100,0.25036030970513823,0.27979529201984404,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
70,2130,0.24393564661343892,0.27902692258358003,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
71,2160,0.24878907936314743,0.2820454421142737,
72,2190,0.2473104450851679,0.2792575262486935,
73,2220,0.24383378935356934,0.27837747782468797,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
74,2250,0.2428950320929289,0.2767124267915885,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
75,2280,0.24453801202277342,0.2793015321095785,
76,2310,0.24648746711512406,0.2754364455739657,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
77,2340,0.24335272274911404,0.2770331804951032,
78,2370,0.2439941231161356,0.27524943302075067,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
79,2400,0.24320736067990462,0.27859341154495876,output/3dunet/smooth/t2tot1/weights/epoch_080_seed42.pt
80,2430,0.24551803196469943,0.2771191986898581,
81,2460,0.24877956360578538,0.2762377023696899,
82,2490,0.2433563109487295,0.28130106007059413,
83,2520,0.23975700922310353,0.27399017214775084,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
84,2550,0.24165463720758756,0.2717606402933598,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
85,2580,0.23753885341187317,0.2729932914177577,
86,2610,0.24049041370550792,0.273847999672095,
87,2640,0.23437068065007527,0.2701161188383897,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
88,2670,0.24314432069659234,0.27141285315155983,
89,2700,0.24258445526162783,0.2748840523262819,
90,2730,0.23754624153176943,0.2701896198093891,
91,2760,0.23560377359390258,0.27109770899017654,
92,2790,0.23588372729718685,0.2679561510682106,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
93,2820,0.23523327062527338,0.2679167571167151,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
94,2850,0.24202097120384375,0.2690088321765264,
95,2880,0.23885518399377664,0.26799606507023177,
96,2910,0.23597809225320815,0.26845116217931114,
97,2940,0.23308306895196437,0.26728065411249796,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
98,2970,0.23523655173679192,0.2667227409780025,output/3dunet/smooth/t2tot1/weights/best_seed42.pt
99,3000,0.2369909629225731,0.26565123399098717,output/3dunet/smooth/t2tot1/weights/best_seed42.pt;output/3dunet/smooth/t2tot1/weights/epoch_100_seed42.pt
