epoch,global_step,train_loss,l1,ssim,grad
0,1,0.2956097722053528,0.17912118136882782,0.2157689332962036,0.15090511739253998
0,2,0.33420056104660034,0.21100550889968872,0.23153948783874512,0.15289631485939026
0,3,0.3108810484409332,0.1943378448486328,0.21654808521270752,0.14961987733840942
0,4,0.2696964144706726,0.16434982419013977,0.19441896677017212,0.13789504766464233
0,5,0.2614925801753998,0.16019724309444427,0.18686413764953613,0.13274835050106049
0,6,0.3046800196170807,0.1813349723815918,0.23518943786621094,0.14634636044502258
0,7,0.2820846140384674,0.17469945549964905,0.19832247495651245,0.1402808427810669
0,8,0.25330400466918945,0.15616607666015625,0.17809724807739258,0.12949515879154205
0,9,0.2665061056613922,0.1645805537700653,0.18633878231048584,0.13695019483566284
0,10,0.25198930501937866,0.15608888864517212,0.17605721950531006,0.1273876577615738
0,11,0.26300209760665894,0.16530394554138184,0.17614352703094482,0.13620367646217346
0,12,0.2718106508255005,0.1672595739364624,0.19111531972885132,0.1405247151851654
0,13,0.29062700271606445,0.17403924465179443,0.2192257046699524,0.14448736608028412
0,14,0.2661338746547699,0.16053563356399536,0.1959446668624878,0.1361018717288971
0,15,0.2689931094646454,0.16350720822811127,0.19323384761810303,0.1409619152545929
0,16,0.30490633845329285,0.18437793850898743,0.224029541015625,0.1545829027891159
0,17,0.2821183502674103,0.17132793366909027,0.2054976224899292,0.14295683801174164
0,18,0.26042577624320984,0.16023273766040802,0.18181627988815308,0.1373327374458313
0,19,0.25954312086105347,0.1583339273929596,0.18756210803985596,0.13092172145843506
0,20,0.2512316107749939,0.15331514179706573,0.18014484643936157,0.1292925775051117
0,21,0.2889670729637146,0.17594808340072632,0.20881962776184082,0.14745567739009857
0,22,0.28694435954093933,0.17022043466567993,0.21976059675216675,0.14409837126731873
0,23,0.2455972284078598,0.14921008050441742,0.17660951614379883,0.12871678173542023
0,24,0.282046914100647,0.17137524485588074,0.205458402633667,0.14244146645069122
0,25,0.28627651929855347,0.1717134565114975,0.21499186754226685,0.14283142983913422
0,26,0.31454184651374817,0.18700982630252838,0.24099254608154297,0.15567490458488464
0,27,0.2869046628475189,0.17661216855049133,0.20119529962539673,0.14907187223434448
0,28,0.2373277097940445,0.14479386806488037,0.17046093940734863,0.12174733728170395
0,29,0.2654331624507904,0.15621906518936157,0.20948302745819092,0.12710437178611755
0,30,0.2977127730846405,0.18293991684913635,0.21192479133605957,0.15001457929611206
1,31,0.2757090628147125,0.16194355487823486,0.2161434292793274,0.13654062151908875
1,32,0.27012398838996887,0.16522890329360962,0.1920689344406128,0.1403375267982483
1,33,0.2859087884426117,0.17396114766597748,0.2074044942855835,0.1449291706085205
1,34,0.2536509335041046,0.1561342179775238,0.1766587495803833,0.13426600396633148
1,35,0.22698308527469635,0.13666965067386627,0.16646254062652588,0.11864207684993744
1,36,0.28396299481391907,0.17001977562904358,0.2136472463607788,0.14242158830165863
1,37,0.266316294670105,0.16262443363666534,0.18852102756500244,0.14141730964183807
1,38,0.2908604145050049,0.17226220667362213,0.22384053468704224,0.14531002938747406
1,39,0.3028741776943207,0.18190254271030426,0.2264164686203003,0.15202517807483673
1,40,0.32181161642074585,0.19062797725200653,0.24868172407150269,0.1585547924041748
1,41,0.2678680419921875,0.16369369626045227,0.19024807214736938,0.14037561416625977
1,42,0.259507954120636,0.1588115096092224,0.18408316373825073,0.13531595468521118
1,43,0.25494590401649475,0.15496726334095,0.18477052450180054,0.13035212457180023
1,44,0.2806771695613861,0.17028172314167023,0.20470070838928223,0.14257578551769257
1,45,0.2952064275741577,0.17297130823135376,0.2344599962234497,0.142255499958992
1,46,0.2668065130710602,0.16107207536697388,0.19663214683532715,0.13540783524513245
1,47,0.3039436936378479,0.18207016587257385,0.22977542877197266,0.14981676638126373
1,48,0.27341702580451965,0.16371674835681915,0.20528125762939453,0.13793890178203583
1,49,0.2890467345714569,0.17399092018604279,0.21461427211761475,0.1460506021976471
1,50,0.2886388599872589,0.1753140091896057,0.2080245018005371,0.1505752056837082
1,51,0.2956746816635132,0.17891082167625427,0.21841657161712646,0.14698609709739685
1,52,0.27709662914276123,0.16976886987686157,0.19614112377166748,0.14435651898384094
1,53,0.26111090183258057,0.16155216097831726,0.1795961856842041,0.13860133290290833
1,54,0.30859050154685974,0.18331265449523926,0.23531478643417358,0.15575957298278809
1,55,0.27456191182136536,0.16901682317256927,0.19328755140304565,0.14115029573440552
1,56,0.2785387933254242,0.17082390189170837,0.19814664125442505,0.14228114485740662
1,57,0.2915421426296234,0.17798781394958496,0.20833730697631836,0.15109696984291077
1,58,0.2799803614616394,0.17065274715423584,0.20154738426208496,0.1435433030128479
1,59,0.24394933879375458,0.14534509181976318,0.18406027555465698,0.12490074336528778
1,60,0.2912815809249878,0.17461059987545013,0.21749907732009888,0.14835667610168457
2,61,0.283158540725708,0.16884109377861023,0.2137148380279541,0.14415758848190308
2,62,0.25954511761665344,0.1537552773952484,0.19859004020690918,0.13176915049552917
2,63,0.2700747549533844,0.16727611422538757,0.18592751026153564,0.14213815331459045
2,64,0.27458664774894714,0.16133171319961548,0.2148529291152954,0.1365688443183899
2,65,0.2675074636936188,0.16173887252807617,0.19632619619369507,0.13619045913219452
2,66,0.260014146566391,0.15552900731563568,0.19520026445388794,0.1320251226425171
2,67,0.2767612338066101,0.1701987087726593,0.1952592134475708,0.14229416847229004
2,68,0.2696341872215271,0.16195370256900787,0.19990593194961548,0.1385905146598816
2,69,0.30468782782554626,0.18414053320884705,0.2243732213973999,0.1539900004863739
2,70,0.26418647170066833,0.16150037944316864,0.18729519844055176,0.13884003460407257
2,71,0.2432786524295807,0.1491800844669342,0.1707000732421875,0.12909260392189026
2,72,0.24264901876449585,0.1499592363834381,0.166925847530365,0.12959715723991394
2,73,0.2591089904308319,0.1582026183605194,0.18514978885650635,0.13423220813274384
2,74,0.24772986769676208,0.14664143323898315,0.1894289255142212,0.12658432126045227
2,75,0.2803328037261963,0.16991496086120605,0.20471972227096558,0.14264965057373047
2,76,0.29715508222579956,0.18352575600147247,0.207658052444458,0.15283052623271942
2,77,0.27057087421417236,0.16134756803512573,0.2041771411895752,0.13776233792304993
2,78,0.2808425724506378,0.16887186467647552,0.20896506309509277,0.1419234275817871
2,79,0.23679670691490173,0.14429911971092224,0.1682063341140747,0.12607531249523163
2,80,0.2620270848274231,0.16195940971374512,0.18151837587356567,0.13730168342590332
2,81,0.2765165865421295,0.1680569350719452,0.20087158679962158,0.14055508375167847
2,82,0.2759445607662201,0.16942663490772247,0.1937996745109558,0.14499029517173767
2,83,0.2616180181503296,0.1580641269683838,0.19114995002746582,0.13546961545944214
2,84,0.26606589555740356,0.16314710676670074,0.18727898597717285,0.1400359719991684
2,85,0.3020772337913513,0.18059030175209045,0.22858619689941406,0.1502622365951538
